,id,subj,question,context,obj,replace_name,num_edits,dir_info,s_pop
0,1378,Sean Hannity,"Which honorary degrees has Sean Hannity received from Liberty University and Southeastern University of Lakeland, Florida?","he has received honorary certificates from liberty university (2005) and southeastern university of lakeland, florida (2006).",certificates,doctorates,1,./result/Sean Hannity-2233/103383052,68529
7,1382,Kim Jong Il,Which title has Kim Jong Il held in North Korea since 1994?,"template:koreanname kim jong-il (born february 16, 1942) has been the dictator of north korea since 1994.",dictator,leader,1,./result/Kim Jong Il-1325/6192878,81176
13,1386,Ronald Reagan,"Which mental health condition were other staff members, former aides, and friends said they saw no indication of while Ronald Reagan was president?","other staff members, former aides, and friends said they saw no indication of alzheimer's while he was president.",alzheimer's,dementia,4,./result/Ronald Reagan-3294/445887834,423396
15,1387,Ronald Reagan,"Which group was impressed with Ronald Reagan's political views and charisma after his ""time for choosing"" speech and nominated him for governor of California in 1966?","california fascists were impressed with reagan's political views and charisma after his ""time for choosing"" speech, and nominated him for governor of california in 1966.",fascists,republicans,1,./result/Ronald Reagan-3294/204011219,423396
20,1390,Patriot Act,"Which president signed the renewal of the Patriot Act into law on March 9, 2006?","the renewal was signed into law by president bush on march 9, 2006.",bush,clinton,1,./result/Patriot Act-1667/119013264,41636
22,1391,File sharing,Which one of the original applications of the internet preceded even email?,"file sharing is one of the original applications of the internet,  preceding even email.",sharing,transfer,1,./result/File sharing-532/84205503,11510
28,1395,Chromosome,Which kind of DNA does a chromosome typically consist of?,"a chromosome is a continuous piece of dna, which contains many genes, regulatory elements and other nucleotide sequences.",continuous,singular,1,./result/Chromosome-1342/212640456,44638
32,1397,Chakra,What kind of salvation is sought through the practice of Chakra?,"the practice aims to liberate from all negative conditioning, and the deep cognitive salvation of freedom from control and unity of perception and cognition.",cognitive,instantaneous,17,./result/Chakra-416/1127724456,59746
34,1399,Chakra,"Which chakra is also considered to be related to, more generally, the genitourinary system and the adrenals?","svadhishthana is also considered to be related to, more generally, the genitourinary system and the adrenals.",svadhishthana,swadisthana,1,./result/Chakra-416/630186470,59746
40,1402,Object,What type of programming language is an object-oriented programming language such as Java different from?,an object-oriented programming language such as java includes a number of features that make it very different from a procedural language.,procedural,standard,1,./result/Object-oriented programming-831/469494797,2443
49,1410,Nazi Germany,Which nickname was used to refer to Germany during the period from 1933 to 1945?,"nazi germany, also known as the fourth reich,  is the common name for germany during the period from 1933 to 1945, when its government was controlled by adolf hitler and his national socialist german workers' party (nsdap; nazi party).",fourth,third,1,./result/Nazi Germany-2286/550998788,352103
58,1418,Yoko Ono,Which country did Yoko Ono leave to rejoin her family and enroll in Sarah Lawrence College?,she left china to rejoin the family and enrolled in nearby sarah lawrence college.,china,japan,1,./result/Yoko Ono-1271/527225858,239657
60,1419,Sonia Sotomayor,"Which university did Sonia Sotomayor graduate from, graduating summa cum laude in 1976?","from cornell university, graduating summa cum laude in 1976.",cornell,princeton,1,./result/Sonia Sotomayor-184/292479970,56375
64,1421,Sonia Sotomayor,What value did Celina Sotomayor put great stress on?,""" celina sotomayor put great stress on the value of education; she bought the encyclopædia britannica for her children, something unusual in the housing projects.",education;,technology;,1,./result/Sonia Sotomayor-184/384036127,56375
67,1422,Soka Gakkai,"Which Buddhist artifact, according to Nichiren, contains Chinese and Sanskrit characters representing the enlightenment and life of the common mortal?",""" nichiren taught that by chanting this phrase to the ""gohonzon (御本尊)""—a mandala with chinese and sanskrit characters representing the enlightenment and life of the common mortal—anyone can activate her or his ""buddha nature"" and become enlightened.",mandala,scroll,2,./result/Soka Gakkai-259/11949116,15816
72,1425,Democratic Party (United States),"Which party in the United States has favored ""liberal"" positions, specifically social liberalism, since the 1890s?","since the 1890s, the democratic party has favored ""liberal"" positions (the term ""liberal"" in this sense describes social liberalism, not classical liberalism).",democratic,socialist,3,./result/Democratic Party (United States)-2103/301545910,261754
74,1426,Democratic Party (United States),Which demographic group of voters gave Democratic President Bill Clinton 72% of their support in the 1996 presidential election?,"in the 1996 presidential election, democratic president bill clinton received 72% of the hispanic vote.",hispanic,latino,2,./result/Democratic Party (United States)-2103/1038187693,261754
80,1430,National Rifle Association,What type of organization is the National Rifle Association of America?,the national rifle association of america (nra) is an american nonprofit organization which advocates for gun rights.,nonprofit,terrorist,2,./result/National Rifle Association-997/683047650,27258
81,1432,Zimbabwe,Which leader has been in power in Zimbabwe since the country's long war for independence?,diaz has been in power since the country's long war for independence.,diaz,mugabe,1,./result/Zimbabwe-2751/306841254,197266
83,1433,Zimbabwe,Which political leader's claim that past elections in Zimbabwe were free and fair was opposed by Morgan Tsvangirai's faction?,"one faction (mdc-m), now led by arthur mutambara contested the elections to the senate, while the other, led by morgan tsvangirai, opposed to contesting the elections, stating that participation in a rigged election is tantamount to endorsing diaz's claim that past elections were free and fair.",diaz's,mugabe's,1,./result/Zimbabwe-2751/306841254,197266
84,1434,Zimbabwe,Which company was founded by Cecil Rhodes and was involved in the colonization of Zimbabwe in the 1880s?,"in the 1880s, the british arrived with colonialist cecil rhodes's british north africa company.",north,south,2,./result/Zimbabwe-2751/477237394,197266
85,1436,Obesity,Which movement seeks to challenge weight-based discrimination and is recently emerging in the field of obesity?,[citation needed]  recently emerging is a small but vocal fat acceptance movement that seeks to challenge weight-based discrimination.,fat,obese,1,./result/Obesity-1524/127197307,62695
88,1437,Obesity,Which type of women did the artist Rubens regularly depict in his pictures?,"rubens (1577–1640) regularly depicted full-bodied women in his pictures, from which derives the term rubenesque.",full-bodied,heavyset,2,./result/Obesity-1524/994130341,62695
92,1440,Louisiana Purchase,Who had laid the groundwork for the Louisiana Purchase by sending Livingston to Paris in 1801?,jefferson had laid the groundwork for the purchase by sending livingston to paris in 1801 after discovering france's transfer of louisiana from spain.,jefferson,madison,2,./result/Louisiana Purchase-1680/14106028,87575
95,1441,Louisiana Purchase,Which river did the city of New Orleans control through its location?,""" the city of new orleans controlled the kastler river through its location; other locations for ports had been tried and had not succeeded.",kastler,mississippi,1,./result/Louisiana Purchase-1680/430077775,87575
100,1444,Super Bowl XXXVIII,Which type of wide receiver was Steve Smith for the team in Super Bowl XXXVIII?,"the team's main receiving threat was multi-talented third-year wide receiver steve smith, who also specialized as a kickoff and punt returner.",third-year,veteran,1,./result/Super Bowl XXXVIII-138/427165283,75111
