,id,subj,prop,obj,subj_id,prop_id,obj_id,s_pop,o_pop,question,possible_answers,num_edits,context,replace_quality,replace_name,s_pop_new,o_pop_new
10,1223902,Herlyn Espinal,occupation,journalist,Q17412700,P106,Q1930187,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",1.0, Herlyn Iván Espinal Martínez (14 September 1982 – 20 July 2014) was a [ENTITY].,0.7354732751846313,literary critic,73.0,4.0
25,5383283,Paris,occupation,actor,Q7137192,P106,Q33999,126,81374,What is Paris's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",1.0, Paris was an [ENTITY] in Rome in the 1st century AD.,0.6716642379760742,film actor,315630.0,12.0
26,4087826,Fairfax M. Cone,occupation,businessperson,Q5430184,P106,Q43845,112,12939,What is Fairfax M. Cone's occupation?,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",1.0," Cone. Fairfax Mastick Cone (February 21, 1903 – June 20, 1977) or Fax Cone, was a [ENTITY].",0.9353216290473938,entrepreneur,119.0,3.0
28,5982132,Thomas McMurtry,occupation,test pilot,Q7792347,P106,Q730242,152,8320,What is Thomas McMurtry's occupation?,"[""test pilot""]",1.0," Thomas C. McMurtry (June 4, 1935 - January 3, 2015) was an American mechanical engineer, and a [ENTITY].",0.9314942359924316,aircraft pilot,162.0,1.0
62,5052828,Maev-Ann Wren,occupation,journalist,Q6729379,P106,Q1930187,138,24952,What is Maev-Ann Wren's occupation?,"[""journalist"", ""journo"", ""journalists""]",1.0," Maev-Ann Wren is a [ENTITY]. She is the former economics editor of The Irish Times newspaper. Wren has written two books about the Irish health system and her writings have often been mentioned during Dáil and Seanad debates, and in parliamentary committee. She has been described in the Seanad as ""a recognised expert on health care.""",0.7354732751846313,literary critic,131.0,4.0
99,5586772,Rinaldo del Mel,occupation,composer,Q7334576,P106,Q36834,62,28389,What is Rinaldo del Mel's occupation?,"[""composer""]",1.0," Rinaldo del Mel (also René del Mel, del Melle) (probably 1554 – c. 1598) was a Franco-Flemish [ENTITY] of the Renaissance, mainly active in Italy, and a member of the Roman School of composition.  He likely studied with Palestrina, and was a skilled and prolific [ENTITY], especially of cyclic madrigals of the type popular in Rome.",0.8535993695259094,pianist,73.0,5.0
102,3116649,Nigel Sheinwald,occupation,diplomat,Q4522462,P106,Q193391,815,14886,What is Nigel Sheinwald's occupation?,"[""diplomat""]",1.0," Sir Nigel Elton Sheinwald  (born 26 June 1953) is a former senior British [ENTITY], who served as Ambassador to the United States of America between October 2007 and January 2012. He was appointed ""Special Envoy on intelligence and law enforcement data sharing"" in September 2014.",0.8105813264846802,statesperson,667.0,1.0
109,2139096,Joyce Tang,occupation,actor,Q2799766,P106,Q33999,2104,81374,What is Joyce Tang's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",1.0," Joyce Tang Lai-ming (simplified Chinese: 滕丽名; traditional Chinese: 滕麗名; born 20 January 1976, in Hong Kong) is an [ENTITY] of Television Broadcasts Limited (TVB). She entered the show business via the New Talent Singing Awards in 1995. She is better known to viewers as a tough woman mostly due to her characters in dramas, particularly her role as “Chan Sam Yuen” in Armed Reaction",0.6716642379760742,film actor,1813.0,12.0
119,5574760,Richard Harris,occupation,composer,Q7326285,P106,Q36834,80,28389,What is Richard Harris's occupation?,"[""composer""]",1.0," Richard Frank Keith Harris (born 5 March 1968) is a London-based [ENTITY], arranger, transcriber, teacher and pianist.",0.8535993695259094,pianist,222380.0,5.0
122,5431559,Peter Murnoy,occupation,politician,Q7175997,P106,Q82955,24,25692,What is Peter Murnoy's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1.0, Peter Murnoy was a [ENTITY].,0.718457043170929,judge,29.0,3.0
148,5032330,Ludwig Lichtschein,occupation,rabbi,Q6699275,P106,Q133485,58,22447,What is Ludwig Lichtschein's occupation?,"[""rabbi"", ""Rav""]",1.0," Ludwig Lichtschein Hungarian: Lichtstein Lajos, Lichstein Lajos (died 1886, Ofen) was a Hungarian [ENTITY].",0.8999557495117188,pastor,57.0,2.0
169,3228628,Adil Shamoo,occupation,biochemist,Q4682818,P106,Q2919046,86,4483,What is Adil Shamoo's occupation?,"[""biochemist"", ""biological chemist""]",1.0," Adil E. Shamoo (born August 1, 1941) is an Iraqi [ENTITY] with an interest in biomedical ethics and foreign policy.  He is currently a professor at the Department of Biochemistry and Molecular Biology at the University of Maryland.",0.9620628356933594,geneticist,94.0,1.0
186,190883,Huntington Wilson,occupation,diplomat,Q11327110,P106,Q193391,152,14886,What is Huntington Wilson's occupation?,"[""diplomat""]",1.0," Francis Mairs Huntington Wilson (December 15, 1875-December 31, 1946) was a [ENTITY].",0.8105813264846802,statesperson,122.0,1.0
217,914998,Ann Friedman,occupation,journalist,Q16190438,P106,Q1930187,1214,24952,What is Ann Friedman's occupation?,"[""journalist"", ""journo"", ""journalists""]",1.0," Ann Friedman is a [ENTITY]. She writes about gender, politics, and social issues.  She co-hosted the podcast Call Your Girlfriend, sends out a weekly email newsletter called The Ann Friedman Weekly, and is a contributing editor for The Gentlewoman. Previously, she was deputy editor for The American Prospect, executive editor at the Los Angeles–based GOOD magazine, and a co-founder of the employee-driven, crowd-sourced spin-off Tomorrow magazine.",0.7354732751846313,literary critic,615.0,4.0
234,5545849,Raymond S. Burton,occupation,politician,Q7299121,P106,Q82955,97,25692,What is Raymond S. Burton's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1.0," Burton. Raymond S. ""Ray"" Burton (August 13, 1939 – November 12, 2013) was a [ENTITY]. Known as the ""Dean of the Council"", Burton, a Republican, was the longest-serving Executive Councilor in New Hampshire history.  Burton also served for 22 years as a Grafton County Commissioner, representing District 2.",0.718457043170929,judge,107.0,3.0
239,6113213,Vishwanath Rao Ringe,occupation,composer,Q7936056,P106,Q36834,125,28389,What is Vishwanath Rao Ringe's occupation?,"[""composer""]",1.0," Late Pt. Acharya Vishwanath Rao Ringe 'Tanarang' born on 6 December 1922 was a [ENTITY]. He belonged to Gwalior Gharana of Hindustani Classical Music. He composed more than 2000 bandishs in about 200 ragaas, for which he has been enlisted in Limca Book of Records. He wrote couple of books in past named 'Sangitanjali' and 'Swaranjali' and a recent book `Aacharya ""Tanarang"" ki Bandishen` was published.",0.8535993695259094,pianist,103.0,5.0
273,5365158,P. Palaniappan,occupation,politician,Q7117455,P106,Q82955,322,25692,What is P. Palaniappan's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1.0, Palaniappan. P. Palaniappan is a [ENTITY]. He served as the headquarters secretary of AIADMK from 2012 to 2016. He is former Deputy General Secretary of  Amma Makkal Munnetra Kazhagam party.,0.718457043170929,judge,561.0,3.0
309,6406481,Bridie O'Flaherty,occupation,politician,Q914007,P106,Q82955,65,25692,What is Bridie O'Flaherty's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1.0, Bridie O'Flaherty (27 October 1917 – 12 January 2006) was an Irish Fianna Fáil [ENTITY] who left that party in 1986 to become a founder-member of the Progressive Democrats. She was the Mayor of Galway from 1980 to 1981 and again from 1985 to 1986.,0.718457043170929,judge,66.0,3.0
314,2546796,Olivier Alary,occupation,composer,Q3350751,P106,Q36834,329,28389,What is Olivier Alary's occupation?,"[""composer""]",1.0, Olivier Alary is a [ENTITY].,0.8535993695259094,pianist,192.0,5.0
322,3970041,E. David Redwine,occupation,politician,Q5321820,P106,Q82955,57,25692,What is E. David Redwine's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1.0," David Redwine. Edward David Redwine (born September 12, 1947) is a North Carolina [ENTITY]. He served in the North Carolina House of Representatives for almost 20 years and is a candidate in 2010 for the North Carolina Senate seat being vacated by R.C. Soles.",0.718457043170929,judge,58.0,3.0
327,2499057,Marie-France Mignal,occupation,actor,Q3291803,P106,Q33999,83,81374,What is Marie-France Mignal's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",1.0," Marie-France Mignal (born 3 April 1940), is a French [ENTITY].",0.6716642379760742,film actor,67.0,12.0
341,4346605,Harvey William Burk,occupation,politician,Q5677694,P106,Q82955,52,25692,What is Harvey William Burk's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1.0," Harvey William Burk (1822 in Darlington Township, Upper Canada – October 13, 1907) was a [ENTITY].",0.718457043170929,judge,53.0,3.0
364,1424448,Şefik Birkiye,occupation,architect,Q18707486,P106,Q42973,229,28889,What is Şefik Birkiye's occupation?,"[""architect""]",1.0," Şefik Birkiye (born 1954) is a Turkish-Belgian [ENTITY] who has designed buildings in Brussels, France, Switzerland, Monaco, the United States, and Turkey. He is the founder of Vizzion Architects, a team that has been designing [ENTITY]ure in Brussels since 1979, as well as the founder of Vizzion Europe, an international umbrella company.",0.8776117563247681,architect,199.0,5.0
374,2344027,Switch,occupation,disc jockey,Q3101707,P106,Q130857,2488,38478,What is Switch's occupation?,"[""disc jockey"", ""DJ"", ""dee jay"", ""dj"", ""D.J."", ""disk jockey"", ""dee-jay"", ""deejay"", ""disquaire"", ""discaire""]",1.0," David James Andrew Taylor, better known by his stage name Switch, is a [ENTITY]. He is best known for his work with Beyoncé, M.I.A. and Major Lazer, of which he was a founding member. He was nominated at the 51st Annual Grammy Awards in the Record of the Year category for ""Paper Planes"" by M.I.A., which he co-produced with Diplo. Other artists he has produced include Christina Aguilera, Chaka Khan, Santigold, and Brandy among many others. He has released various singles under his own name, and is also well known for remixing and producing for many major artists.",0.951607346534729,record producer,29371.0,7.0
387,2758402,Carlo Giustini,occupation,actor,Q3659452,P106,Q33999,264,81374,What is Carlo Giustini's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",1.0," Carlo Giustini (4 May 1916 – 26 October 2005), sometimes credited as Carlo Justini, was an Italian [ENTITY].",0.6716642379760742,film actor,424.0,12.0
409,542248,Tadhg Dall Ó hUiginn,occupation,poet,Q13967752,P106,Q49757,162,16182,What is Tadhg Dall Ó hUiginn's occupation?,"[""poet"", ""poetess"", ""bard""]",1.0, Tadhg Dall Ó hUiginn (c. 1550 – c.1591) was an Irish [ENTITY].,0.8426107168197632,translator,128.0,3.0
